language,precision,recall,accuracy,f1-score,specificity,samples
af,99.51,99.26,99.99,99.38,99.99,813
am,100,100,100,100,100,98
ar,98.43,99.6,99.99,99.01,99.99,251
bg,100,97.71,99.97,98.84,100,872
bn,99.35,100,99.99,99.67,99.99,612
bs,62.42,61.54,99.08,61.98,99.54,845
ca,100,98.16,99.98,99.07,100,869
co,99.63,97.92,99.97,98.77,100,818
cs,99.44,99.33,99.98,99.38,99.99,893
cy,99.74,99.87,100,99.8,100,756
da,99.65,98.38,99.98,99.01,100,863
de,95.07,98.51,99.91,96.76,99.93,939
el,100,99.89,100,99.94,100,882
en,95.12,99.2,99.78,97.12,99.8,2631
eo,94.57,99.88,99.93,97.16,99.93,855
es,97.66,96.7,99.93,97.18,99.97,908
et,100,98.76,99.99,99.38,100,805
eu,99.89,99.89,100,99.89,100,947
fa,100,100,100,100,100,11
fi,99.88,99.64,99.99,99.76,100,835
fr,99.13,98.51,99.96,98.82,99.98,1278
fy,99.64,99.27,99.99,99.45,100,826
ga,99.55,99.89,99.99,99.72,99.99,877
gd,99.87,99.49,99.99,99.68,100,791
gl,97.36,98.23,99.94,97.79,99.97,902
gu,100,99.87,100,99.94,100,773
ha,99.76,99.76,99.99,99.76,100,837
hi,97.68,100,99.97,98.83,99.97,757
hr,62.22,65.91,99.1,64.01,99.51,842
ht,99.9,100,100,99.95,100,976
hu,99.89,99.13,99.99,99.51,100,918
hy,100,98.67,99.98,99.33,100,903
id,86.73,97.57,99.78,91.83,99.81,864
ig,99.63,100,100,99.81,100,806
is,99.87,100,100,99.93,100,745
it,96.27,94.98,99.89,95.62,99.95,896
ja,98.96,97.94,100,98.45,100,97
jv,99.63,97.25,99.96,98.43,100,836
ka,100,99.33,99.99,99.66,100,891
kk,99.87,99.23,99.99,99.55,100,781
km,60.73,100,99.88,75.57,99.88,133
kn,99.87,100,100,99.93,100,763
ko,97.53,100,99.97,98.75,99.97,867
ku,99.76,99.4,99.99,99.58,100,827
ky,99.77,98.85,99.98,99.31,100,869
la,98.43,96.28,99.94,97.34,99.98,779
lb,98.51,97.43,99.95,97.97,99.98,816
lo,99.57,94.11,99.96,96.76,100,492
lt,99.89,98.7,99.98,99.29,100,923
lv,100,99.89,100,99.94,100,873
mg,99.84,99.84,100,99.84,100,612
mi,99.9,99.69,99.99,99.79,100,959
mk,99.89,99.54,99.99,99.71,100,878
ml,100,99.65,100,99.83,100,573
mn,100,99.73,100,99.87,100,749
mr,99.83,100,100,99.91,100,586
ms,97.24,87.46,99.82,92.09,99.97,845
mt,100,99.44,99.99,99.72,100,898
my,100,96.05,100,97.99,100,76
ne,100,97.57,99.98,98.77,100,575
nl,98.19,98.19,99.97,98.19,99.98,662
pa,100,99.87,100,99.94,100,771
pl,98.89,99.55,99.98,99.22,99.99,892
ps,100,97.94,100,98.96,100,97
pt,98.29,98.63,99.96,98.46,99.98,876
ro,99.44,99.56,99.99,99.5,99.99,899
ru,94.79,97.65,99.9,96.2,99.93,894
sd,100,97.06,100,98.51,100,34
si,99.67,100,100,99.83,100,605
sk,99.44,98.88,99.98,99.16,99.99,896
sl,99.2,98.3,99.97,98.75,99.99,882
sn,100,94.09,99.95,96.95,100,575
so,100,94,99.93,96.91,100,800
sq,99.64,99.76,99.99,99.7,100,825
sr,99.88,94.1,99.93,96.9,100,864
su,99.89,99.11,99.99,99.5,100,903
sv,99.14,99.5,99.98,99.32,99.99,808
sw,100,99.74,100,99.87,100,764
ta,100,99.86,100,99.93,100,740
te,100,100,100,100,100,773
tg,99.88,95.58,99.94,97.69,100,906
th,89.25,100,99.95,94.32,99.95,274
tl,99.87,99.49,99.99,99.68,100,785
tr,96.39,99.76,99.95,98.05,99.95,830
uk,99.55,97.05,99.96,98.28,99.99,914
ur,99.45,100,100,99.72,100,180
uz,100,99.21,99.99,99.61,100,764
vi,99.75,99.87,100,99.81,100,792
xh,100,98.87,99.99,99.43,100,799
yi,100,99.75,100,99.87,100,798
yo,99.85,96.54,99.96,98.17,100,694
zh,100,100,100,100,100,81
Micro,97.79,97.79,99.96,97.79,99.98,69569
Macro,97.8,97.88,99.95,97.77,99.98,69569
