language,precision,recall,accuracy,f1-score,specificity,samples
af,100,98.65,99.99,99.32,100,813
am,100,100,100,100,100,98
ar,98.81,99.6,100,99.21,100,251
as,100,100,100,100,100,636
av,100,83.36,99.88,90.92,100,643
az,100,99.13,99.99,99.56,100,805
ba,51.83,98.32,99.18,67.88,99.19,776
be,99.55,96.02,99.95,97.75,100,929
bg,100,97.94,99.98,98.96,100,872
bn,99.35,99.67,99.99,99.51,100,612
bo,19.57,90,99.96,32.14,99.96,10
br,99.52,99.52,99.99,99.52,100,825
ca,98.93,95.97,99.95,97.43,99.99,869
ce,100,99.48,99.99,99.74,100,970
co,97.97,94.62,99.93,96.27,99.98,818
cs,99.11,99.33,99.98,99.22,99.99,893
cv,99.14,96.88,99.96,98,99.99,834
cy,99.6,100,100,99.8,100,756
da,99.65,97.8,99.97,98.71,100,863
de,97.32,81.15,99.77,88.5,99.98,939
dv,100,100,100,100,100,37
el,100,99.89,100,99.94,100,882
en,92.75,98.71,99.73,95.64,99.76,2631
eo,95.09,99.65,99.95,97.32,99.95,855
es,94.36,81.06,99.75,87.2,99.95,908
et,99.87,98.76,99.99,99.31,100,805
eu,99.37,100,99.99,99.68,99.99,947
fa,100,100,100,100,100,11
fi,99.88,99.52,99.99,99.7,100,835
fr,98.43,93.43,99.88,95.87,99.98,1278
fy,99.39,99.27,99.99,99.33,99.99,826
ga,99.54,99.77,99.99,99.66,100,877
gd,99.87,99.49,99.99,99.68,100,791
gl,96.38,97.45,99.94,96.91,99.96,902
gn,99.89,98.58,99.98,99.23,100,915
gu,100,100,100,100,100,773
gv,99.89,99.24,99.99,99.56,100,917
he,99.42,99.65,99.99,99.54,99.99,864
hi,98.69,99.74,99.99,99.21,99.99,757
hr,94.04,99.29,99.93,96.59,99.94,842
ht,100,100,100,100,100,976
hu,99.56,99.24,99.99,99.4,100,918
hy,100,98.67,99.99,99.33,100,903
ia,98.41,97.74,99.96,98.07,99.98,884
id,89.46,97.22,99.86,93.18,99.89,864
io,98.52,99.68,99.98,99.1,99.98,936
is,99.73,100,100,99.87,100,745
it,97.28,83.93,99.81,90.11,99.98,896
ja,97.94,97.94,100,97.94,100,97
jv,99.51,97.37,99.97,98.43,100,836
ka,100,99.33,99.99,99.66,100,891
kk,99.61,99.23,99.99,99.42,100,781
km,34.82,100,99.72,51.65,99.72,133
kn,99.87,100,100,99.93,100,763
ko,91.84,100,99.91,95.75,99.91,867
ku,100,96.01,99.96,97.96,100,827
kv,99.39,93.44,99.93,96.32,99.99,869
kw,99.77,99.43,99.99,99.6,100,884
ky,99.88,98.85,99.99,99.36,100,869
la,97.15,96.41,99.94,96.78,99.97,779
lb,97.67,97.55,99.96,97.61,99.98,816
li,96.77,99.53,99.97,98.13,99.98,632
lo,99.57,94.11,99.96,96.76,100,492
lt,99.89,98.7,99.99,99.29,100,923
lv,100,99.89,100,99.94,100,873
mg,99.84,99.84,100,99.84,100,612
mk,100,99.32,99.99,99.66,100,878
ml,100,100,100,100,100,573
mn,100,99.87,100,99.93,100,749
mr,99.66,100,100,99.83,100,586
ms,97.22,91.12,99.89,94.07,99.97,845
mt,100,99.44,99.99,99.72,100,898
my,100,97.37,100,98.67,100,76
ne,100,98.26,99.99,99.12,100,575
nl,98.12,94.71,99.95,96.39,99.99,662
nn,98.69,95.68,99.95,97.16,99.99,787
oc,95.01,97.16,99.94,96.07,99.96,705
or,100,100,100,100,100,660
os,99.89,99.46,99.99,99.68,100,929
pa,100,99.87,100,99.94,100,771
pl,98.34,99.55,99.98,98.94,99.98,892
ps,100,98.97,100,99.48,100,97
pt,98.48,96.46,99.95,97.46,99.99,876
qu,98.1,96.14,99.95,97.11,99.99,700
rm,99.46,98.79,99.99,99.12,100,745
ro,99.44,99.56,99.99,99.5,99.99,899
ru,85.07,91.16,99.75,88.01,99.84,894
sa,100,95.47,99.97,97.68,100,640
sc,98.56,96.11,99.94,97.32,99.99,925
sd,100,97.06,100,98.51,100,34
si,99.51,100,100,99.75,100,605
sk,99.66,99.44,99.99,99.55,100,896
sl,99.54,98.75,99.98,99.15,100,882
so,99.74,94.5,99.95,97.05,100,800
sq,99.64,99.88,100,99.76,100,825
sr,99.88,94.1,99.94,96.9,100,864
su,99.67,99.11,99.99,99.39,100,903
sv,98.89,98.89,99.98,98.89,99.99,808
sw,99.22,99.87,99.99,99.54,99.99,764
ta,100,99.86,100,99.93,100,740
te,100,100,100,100,100,773
tg,99.88,95.7,99.95,97.75,100,906
th,89.25,100,99.96,94.32,99.96,274
tk,100,99.42,99.99,99.71,100,860
tl,99.61,98.6,99.98,99.1,100,785
tr,95.6,99.52,99.95,97.52,99.96,830
tt,88.46,2.63,99.03,5.11,100,875
ug,100,92.68,99.99,96.2,100,82
uk,99.56,98.25,99.98,98.9,100,914
ur,100,100,100,100,100,180
uz,100,99.21,99.99,99.61,100,764
vi,99.87,99.87,100,99.87,100,792
vo,96.32,99.7,99.95,97.98,99.96,999
wa,98.73,99.68,99.98,99.2,99.99,934
yi,99.62,99.12,99.99,99.37,100,798
yo,99.7,96.25,99.97,97.95,100,694
zh,97.59,100,100,98.78,100,81
Micro,96.75,96.75,99.96,96.75,99.98,87955
Macro,97.01,96.94,99.95,96.2,99.98,87955
