language,precision,recall,accuracy,f1-score,specificity,samples
af,98.89,87.82,99.88,93.03,99.99,813
am,100,100,100,100,100,98
an,100,9.81,99.08,17.87,100,917
ar,97.67,100,99.99,98.82,99.99,251
as,100,99.69,100,99.84,100,636
av,100,61.74,99.73,76.35,100,643
az,98.27,98.88,99.97,98.58,99.98,805
ba,100,97.29,99.98,98.63,100,776
be,99.12,97.31,99.96,98.21,99.99,929
bg,97.96,99.08,99.97,98.52,99.98,872
bn,98.39,99.67,99.99,99.03,99.99,612
bo,100,90,100,94.74,100,10
br,97.65,95.52,99.94,96.57,99.98,825
bs,85.33,7.57,99.12,13.91,99.99,845
ca,60,96.32,99.35,73.94,99.37,869
ce,98.46,99.07,99.97,98.77,99.98,970
co,100,0.24,99.09,0.49,100,818
cs,91.65,93.39,99.85,92.51,99.91,893
cv,100,45.2,99.49,62.26,100,834
cy,64.75,99.87,99.54,78.56,99.54,756
da,94.89,96.87,99.92,95.87,99.95,863
de,71.72,99.68,99.59,83.42,99.59,939
dv,100,100,100,100,100,37
el,99.89,99.89,100,99.89,100,882
en,54.25,98.9,97.53,70.07,97.49,2631
eo,71.31,99.42,99.61,83.05,99.62,855
es,28.1,99.67,97.43,43.84,97.4,908
et,97.5,96.89,99.95,97.2,99.98,805
eu,90.33,99.58,99.88,94.73,99.89,947
fa,100,100,100,100,100,11
fi,94.12,99.76,99.94,96.86,99.94,835
fr,52.67,99.45,98.72,68.87,98.71,1278
fy,90.66,97.58,99.89,93.99,99.91,826
ga,93.74,75.14,99.71,83.42,99.95,877
gd,96.78,87.36,99.86,91.83,99.97,791
gl,98.86,67.41,99.67,80.16,99.99,902
gn,100,4.7,99.03,8.98,100,915
gu,100,100,100,100,100,773
gv,99.36,17.01,99.15,29.05,100,917
he,98.74,99.88,99.99,99.31,99.99,864
hi,98.18,100,99.98,99.08,99.98,757
hr,50.78,73.75,99.09,60.15,99.33,842
ht,99.59,50.1,99.46,66.67,100,976
hu,99.23,98.47,99.98,98.85,99.99,918
hy,98.67,98.89,99.98,98.78,99.99,903
ia,98.36,67.65,99.67,80.16,99.99,884
id,47.45,97.8,98.94,63.89,98.95,864
ie,86.44,13.28,99.62,23.02,99.99,384
io,98.47,75.43,99.73,85.42,99.99,936
is,100,98.79,99.99,99.39,100,745
it,33.13,96.21,98.03,49.29,98.05,896
ja,100,96.91,100,98.43,100,97
jv,95.3,80.02,99.78,87,99.96,836
ka,99.55,99.33,99.99,99.44,100,891
kk,100,99.36,99.99,99.68,100,781
km,99.25,100,100,99.63,100,133
kn,98.96,100,99.99,99.48,99.99,763
ko,100,99.88,100,99.94,100,867
ku,98.96,23.1,99.29,37.45,100,827
kv,98.41,49.94,99.51,66.26,99.99,869
kw,95.72,55.66,99.54,70.39,99.98,884
ky,99.88,98.73,99.99,99.31,100,869
la,96.51,92.17,99.9,94.29,99.97,779
lb,99.69,78.31,99.8,87.71,100,816
li,92.86,2.06,99.31,4.02,100,632
lo,100,93.9,99.97,96.86,100,492
lt,90.82,96.42,99.86,93.54,99.9,923
lv,99.87,85.8,99.86,92.3,100,873
mg,99.83,98.2,99.99,99.01,100,612
mk,100,99.66,100,99.83,100,878
ml,99.65,100,100,99.83,100,573
mn,99.07,100,99.99,99.53,99.99,749
mr,99.83,99.49,100,99.66,100,586
ms,78.16,61.42,99.48,68.79,99.84,845
mt,100,82.96,99.83,90.69,100,898
my,96.2,100,100,98.06,100,76
ne,100,98.43,99.99,99.21,100,575
nl,47.07,99.4,99.17,63.88,99.17,662
nn,99.62,67.47,99.71,80.45,100,787
oc,84.52,10.07,99.28,18,99.99,705
or,100,100,100,100,100,660
os,100,8.83,99.06,16.22,100,929
pa,100,99.87,100,99.94,100,771
pl,89.91,99.89,99.89,94.64,99.89,892
ps,100,95.88,100,97.89,100,97
pt,73.03,99.54,99.64,84.25,99.64,876
qu,98.51,85,99.87,91.26,99.99,700
rm,98.61,28.59,99.41,44.33,100,745
ro,89.34,98.78,99.87,93.82,99.88,899
ru,30.56,99.89,97.75,46.8,97.73,894
sa,100,99.22,99.99,99.61,100,640
sc,100,0.54,98.98,1.08,100,925
sd,100,97.06,100,98.51,100,34
si,100,100,100,100,100,605
sk,99.24,87.05,99.86,92.75,99.99,896
sl,86.22,97.17,99.82,91.36,99.85,882
so,99.53,79.88,99.82,88.63,100,800
sq,98.76,96.24,99.95,97.48,99.99,825
sr,81.67,97.45,99.77,88.87,99.79,864
su,90.85,50.61,99.45,65.01,99.95,903
sv,98.89,99.38,99.98,99.14,99.99,808
sw,60.25,99.21,99.44,74.98,99.44,764
ta,99.87,100,100,99.93,100,740
te,99.74,100,100,99.87,100,773
tg,98.86,86.31,99.85,92.16,99.99,906
th,90.43,100,99.97,94.97,99.97,274
tk,100,0.35,99.05,0.7,100,860
tl,48.51,99.62,99.08,65.25,99.07,785
tr,48.51,98.31,99.02,64.97,99.03,830
tt,98.48,96.23,99.95,97.34,99.99,875
ug,100,92.68,99.99,96.2,100,82
uk,95.57,99.12,99.94,97.31,99.95,914
ur,89.55,100,99.98,94.49,99.98,180
uz,99.21,98.56,99.98,98.88,99.99,764
vi,98.8,31.06,99.39,47.26,100,792
vo,100,31.03,99.24,47.36,100,999
wa,96.69,12.53,99.09,22.18,100,934
yi,99.87,98.37,99.98,99.12,100,798
yo,0,0,99.22,0,99.99,694
zh,96.43,100,100,98.18,100,81
Micro,79.35,79.35,99.77,79.35,99.88,90101
Macro,90.48,81.01,99.66,79.68,99.83,90101
