language,precision,recall,accuracy,f1-score,specificity,samples
af,100,99.88,100,99.94,100,813
am,100,100,100,100,100,98
ar,96.88,98.8,99.98,97.83,99.99,251
as,100,100,100,100,100,636
az,99.5,99.13,99.98,99.32,99.99,805
be,99.78,97.52,99.96,98.64,100,929
bg,99.54,99.31,99.98,99.43,99.99,872
bn,99.67,99.67,99.99,99.67,100,612
ca,98.82,96.78,99.94,97.79,99.98,869
cs,100,86.34,99.81,92.67,100,893
cy,99.87,100,100,99.93,100,756
da,99.54,99.3,99.98,99.42,99.99,863
de,96.57,96.06,99.89,96.32,99.95,939
el,100,99.89,100,99.94,100,882
en,98.2,95.17,99.73,96.66,99.93,2631
es,96.66,98.79,99.94,97.71,99.95,908
et,99.5,99.01,99.98,99.25,99.99,805
fa,100,100,100,100,100,11
fi,99.76,99.76,99.99,99.76,100,835
fr,96.54,98.12,99.89,97.32,99.93,1278
ga,100,93.96,99.92,96.88,100,877
gl,100,96.45,99.95,98.19,100,902
gu,100,100,100,100,100,773
ha,100,99.76,100,99.88,100,837
he,100,99.88,100,99.94,100,864
hi,99.13,89.96,99.87,94.32,99.99,757
hr,97.65,98.57,99.95,98.11,99.97,842
hu,100,98.47,99.98,99.23,100,918
hy,100,96.9,99.96,98.43,100,903
id,97.39,99.42,99.96,98.4,99.96,864
ig,100,100,100,100,100,806
is,100,96.24,99.96,98.08,100,745
it,98.38,94.75,99.91,96.53,99.98,896
ja,97.89,95.88,99.99,96.88,100,97
jv,100,97.37,99.97,98.67,100,836
ka,100,99.33,99.99,99.66,100,891
kk,100,99.36,99.99,99.68,100,781
km,100,100,100,100,100,133
kn,100,100,100,100,100,763
ko,100,99.42,99.99,99.71,100,867
ky,99.77,98.85,99.98,99.31,100,869
lb,99.87,94.49,99.93,97.1,100,816
lg,99.85,99.54,99.99,99.69,100,649
ln,99.45,96.77,99.96,98.09,99.99,743
lo,100,93.9,99.95,96.86,100,492
lt,99.67,98.27,99.97,98.96,100,923
lv,99.89,99.77,100,99.83,100,873
mi,99.9,99.9,100,99.9,100,959
mk,99.89,100,100,99.94,100,878
ml,99.83,100,100,99.91,100,573
mn,0,0,98.85,0,100,749
mr,100,100,100,100,100,586
mt,99.78,99.67,99.99,99.72,100,898
my,100,98.68,100,99.34,100,76
ne,100,99.65,100,99.83,100,575
nl,97.49,99.55,99.97,98.51,99.97,662
oc,97.43,96.74,99.94,97.08,99.97,705
om,100,99.4,99.99,99.7,100,836
or,99.7,100,100,99.85,100,660
pa,100,99.87,100,99.94,100,771
pl,97.59,99.89,99.96,98.73,99.97,892
ps,0,0,99.85,0,100,97
pt,95.93,99.54,99.94,97.7,99.94,876
ro,98.68,99.89,99.98,99.28,99.98,899
ru,92.12,99.33,99.87,95.59,99.88,894
sd,100,97.06,100,98.51,100,34
sk,92.31,99.11,99.87,95.59,99.88,896
sl,92.99,99.21,99.89,96,99.9,882
sn,99.64,96.35,99.96,97.97,100,575
so,99.74,96,99.95,97.83,100,800
sr,99.88,95.6,99.94,97.69,100,864
sv,98.89,99.63,99.98,99.26,99.99,808
sw,99.74,99.74,99.99,99.74,100,764
ta,100,100,100,100,100,740
te,100,100,100,100,100,773
tg,100,97.79,99.97,98.88,100,906
th,90.43,100,99.96,94.97,99.96,274
tl,100,99.49,99.99,99.74,100,785
tr,97.52,99.4,99.96,98.45,99.97,830
uk,99.67,98.8,99.98,99.23,100,914
ur,100,99.44,100,99.72,100,180
uz,99.34,99.21,99.98,99.28,99.99,764
vi,100,86.87,99.84,92.97,100,792
wo,99.89,95.66,99.94,97.73,100,921
xh,99.87,99.62,99.99,99.75,100,799
yo,99.85,97.41,99.97,98.61,100,694
zh,100,98.77,100,99.38,100,81
Micro,98.93,96.77,99.96,97.84,99.99,65065
Macro,96.76,95.96,99.95,96.33,99.99,65065
