language,precision,recall,accuracy,f1-score,specificity,samples
af,0,0,99.95,0,100,1
ar,0,0,99.78,0,100,4
br,50,100,99.95,66.67,99.95,1
ca,83.33,83.33,99.89,83.33,99.95,6
cs,100,70,99.84,82.35,100,10
cy,100,100,100,100,100,4
da,100,63.64,99.78,77.78,100,11
de,98.11,67.53,98.59,80,99.94,77
el,0,0,99.89,0,99.95,1
en,99.38,47.7,51.71,64.46,96.69,1705
eo,100,100,100,100,100,1
es,93.75,50,97.4,65.22,99.83,90
et,50,100,99.95,66.67,99.95,1
eu,100,100,100,100,100,1
fa,0,0,99.95,0,100,1
fi,100,40,99.84,57.14,100,5
fr,99.59,69.9,82.87,82.15,99.63,1043
gl,25,100,99.84,40,99.84,1
hi,75,75,99.89,75,99.95,4
hr,33.33,100,99.89,50,99.89,1
hu,100,16.67,99.73,28.57,100,6
id,84.78,98.73,99.19,91.23,99.21,79
is,0,0,99.95,0,100,1
it,93.1,67.5,99.19,78.26,99.89,40
ja,72.73,42.11,99.24,53.33,99.84,19
ko,80,28.57,99.4,42.11,99.95,14
lt,100,100,100,100,100,1
lv,100,100,100,100,100,5
mk,0,0,99.95,0,100,1
nl,92,67.65,99.3,77.97,99.89,34
no,100,100,100,100,100,6
pl,50,25,99.78,33.33,99.95,4
pt,94.83,73.33,98.75,82.71,99.83,75
ro,100,100,100,100,100,4
ru,100,33.33,99.89,50,100,3
sk,100,33.33,99.89,50,100,3
sl,100,100,100,100,100,2
sr,0,0,99.95,0,100,1
sv,80,72.73,99.73,76.19,99.89,11
sw,100,100,100,100,100,1
th,100,81.82,99.89,90,100,11
tl,55.56,83.33,99.73,66.67,99.78,6
tr,100,61.11,99.62,75.86,100,18
uk,100,100,100,100,100,1
ur,0,0,99.95,0,100,1
vi,100,31.25,99.4,47.62,100,16
zh,97.5,34.82,87.97,51.32,99.8,336
Micro,97.1,55.84,99.12,70.91,99.97,3667
Macro,72.51,59.97,98.07,61.4,99.86,3667
