language,precision,recall,accuracy,f1-score,specificity,samples
af,100,99.02,99.99,99.51,100,813
am,100,100,100,100,100,98
ar,98.43,99.6,99.99,99.01,99.99,251
as,100,100,100,100,100,636
az,100,99.13,99.99,99.56,100,805
be,99.78,96.02,99.95,97.86,100,929
bg,100,98.51,99.98,99.25,100,872
bn,99.67,100,100,99.84,100,612
br,99.52,99.64,99.99,99.58,99.99,825
bs,65.36,55.15,99.18,59.82,99.67,845
ca,99.88,98.39,99.98,99.13,100,869
cs,99.55,99.55,99.99,99.55,99.99,893
cy,99.6,99.87,99.99,99.74,100,756
da,99.65,97.8,99.97,98.71,100,863
de,96.36,98.62,99.94,97.47,99.95,939
el,100,99.89,100,99.94,100,882
en,96.88,99.16,99.86,98.01,99.89,2631
eo,93.12,99.77,99.91,96.33,99.92,855
es,93.91,95.15,99.87,94.53,99.93,908
et,100,98.76,99.99,99.38,100,805
eu,99.58,99.89,99.99,99.74,99.99,947
fa,100,100,100,100,100,11
fi,99.88,99.52,99.99,99.7,100,835
fr,98.52,98.75,99.95,98.63,99.97,1278
fy,99.76,99.27,99.99,99.51,100,826
ga,99.66,99.89,99.99,99.77,100,877
gd,100,99.49,99.99,99.75,100,791
gl,96.74,98.67,99.94,97.69,99.96,902
gn,99.78,98.91,99.98,99.34,100,915
gu,100,100,100,100,100,773
ha,99.76,99.76,99.99,99.76,100,837
he,99.42,99.65,99.99,99.54,99.99,864
hi,98.44,100,99.98,99.21,99.98,757
hr,60.26,72.92,99.17,65.99,99.46,842
ht,100,100,100,100,100,976
hu,99.67,99.35,99.99,99.51,100,918
hy,100,98.67,99.98,99.33,100,903
id,88.94,97.69,99.84,93.11,99.86,864
ig,99.63,100,100,99.81,100,806
is,99.87,100,100,99.93,100,745
it,97.6,95.31,99.92,96.44,99.97,896
ja,100,97.94,100,98.96,100,97
jv,99.63,97.25,99.97,98.43,100,836
ka,100,99.33,99.99,99.66,100,891
kk,99.87,99.36,99.99,99.61,100,781
km,77.33,100,99.95,87.21,99.95,133
kn,99.87,100,100,99.93,100,763
ko,98.75,100,99.99,99.37,99.99,867
ku,99.88,99.52,99.99,99.7,100,827
ky,99.88,98.85,99.99,99.36,100,869
lg,100,99.54,100,99.77,100,649
li,98.59,99.37,99.98,98.98,99.99,632
ln,99.86,97.44,99.97,98.64,100,743
lo,99.57,94.11,99.96,96.76,100,492
lt,99.89,98.7,99.98,99.29,100,923
lv,100,99.89,100,99.94,100,873
mg,99.84,99.84,100,99.84,100,612
mk,100,99.43,99.99,99.71,100,878
ml,100,99.83,100,99.91,100,573
mn,100,100,100,100,100,749
mr,99.83,100,100,99.91,100,586
ms,97.7,90.41,99.87,93.92,99.98,845
my,100,97.37,100,98.67,100,76
ne,100,98.78,99.99,99.39,100,575
nl,97.59,97.89,99.96,97.74,99.98,662
om,99.88,99.88,100,99.88,100,836
or,100,100,100,100,100,660
pa,100,99.87,100,99.94,100,771
pl,98.34,99.78,99.98,99.05,99.98,892
ps,100,98.97,100,99.48,100,97
pt,97.74,98.86,99.96,98.3,99.97,876
qu,98.39,96,99.95,97.18,99.99,700
rm,99.73,99.19,99.99,99.46,100,745
ro,99.67,99.67,99.99,99.67,100,899
ru,92.75,98.77,99.9,95.67,99.91,894
sa,100,99.22,99.99,99.61,100,640
sd,100,97.06,100,98.51,100,34
si,99.51,100,100,99.75,100,605
sk,99.66,99.44,99.99,99.55,100,896
sl,99.32,99.09,99.98,99.21,99.99,882
so,100,94.25,99.94,97.04,100,800
sq,99.64,99.64,99.99,99.64,100,825
sr,99.88,94.1,99.93,96.9,100,864
su,99.89,99.11,99.99,99.5,100,903
sv,99.14,99.63,99.99,99.38,99.99,808
sw,99.87,99.74,100,99.8,100,764
ta,100,99.86,100,99.93,100,740
te,100,100,100,100,100,773
th,89.54,100,99.96,94.48,99.96,274
tl,99.75,99.75,99.99,99.75,100,785
tn,99.88,98.83,99.99,99.35,100,854
tr,96.28,99.76,99.96,97.99,99.96,830
ug,100,92.68,99.99,96.2,100,82
uk,99.56,98.47,99.98,99.01,99.99,914
ur,100,100,100,100,100,180
uz,100,99.21,99.99,99.61,100,764
vi,99.75,99.87,100,99.81,100,792
wo,99.77,95.87,99.95,97.79,100,921
xh,100,98.87,99.99,99.43,100,799
yi,99.62,99.12,99.99,99.37,100,798
yo,99.7,96.69,99.97,98.17,100,694
zh,100,100,100,100,100,81
Micro,98.05,98.05,99.96,98.05,99.98,76254
Macro,98.18,98.12,99.96,98.11,99.98,76254
