language,precision,recall,accuracy,f1-score,specificity,samples
af,100,99.95,100,99.98,100,2009
am,100,100,100,100,100,2009
ar,99.88,99.99,99.99,99.94,99.99,12054
as,100,100,100,100,100,2009
az,99.9,100,100,99.95,100,2009
be,100,100,100,100,100,2009
bg,100,100,100,100,100,2009
bn,100,100,100,100,100,2009
bs,85.32,86.76,99.71,86.03,99.85,2009
ca,89.01,99.95,99.87,94.16,99.87,2009
cs,100,99.95,100,99.98,100,2009
cy,64.54,100,99.44,78.45,99.43,2009
da,100,99.7,100,99.85,100,2009
de,100,100,100,100,100,2009
el,99.95,100,100,99.98,100,2009
en,99.95,100,100,99.98,100,2009
es,99.95,99.85,100,99.9,100,2009
et,100,100,100,100,100,2009
fa,99.95,100,100,99.98,100,2009
fi,100,100,100,100,100,2009
fr,100,100,100,100,100,2009
ga,99.85,100,100,99.93,100,2009
gl,100,99.8,100,99.9,100,2009
gu,100,100,100,100,100,2009
ha,100,99.9,100,99.95,100,2009
he,100,100,100,100,100,2009
hi,99.95,100,100,99.98,100,2009
hr,86.57,85.02,99.71,85.79,99.86,2009
hu,100,100,100,100,100,2009
hy,100,100,100,100,100,2009
id,98.32,98.86,99.97,98.59,99.98,2009
ig,100,100,100,100,100,2009
is,100,100,100,100,100,2009
it,100,99.95,100,99.98,100,2009
ja,100,100,100,100,100,2009
jv,98.53,100,99.98,99.26,99.98,2009
ka,100,100,100,100,100,2009
kk,100,99.95,100,99.98,100,2009
km,100,100,100,100,100,2009
kn,100,100,100,100,100,2009
ko,99.95,100,100,99.98,100,2009
ky,100,100,100,100,100,2009
lb,98.58,99.95,99.98,99.26,99.99,2009
lg,99.95,99.9,100,99.93,100,2009
ln,99.41,99.95,99.99,99.68,99.99,2009
lo,100,100,100,100,100,2009
lt,100,100,100,100,100,2009
lv,100,100,100,100,100,2009
mi,100,100,100,100,100,2009
mk,100,99.95,100,99.98,100,2009
ml,100,100,100,100,100,2009
mr,100,100,100,100,100,2009
ms,98.85,98.31,99.97,98.58,99.99,2009
mt,100,100,100,100,100,2009
my,100,100,100,100,100,2009
ne,100,100,100,100,100,2009
nl,99.9,100,100,99.95,100,2009
ny,99.95,99.75,100,99.85,100,2009
oc,99.97,98.63,99.97,99.3,100,4018
om,100,100,100,100,100,2009
or,100,100,100,100,100,2009
pa,100,100,100,100,100,2009
pl,100,100,100,100,100,2009
pt,99.9,50,98.98,66.64,100,4018
ro,100,100,100,100,100,2009
ru,100,99.95,100,99.98,100,2009
sd,100,100,100,100,100,2009
sk,99.95,100,100,99.98,100,2009
sl,100,99.95,100,99.98,100,2009
sn,99.95,100,100,99.98,100,2009
so,99.95,100,100,99.98,100,2009
sr,99.95,100,100,99.98,100,2009
sv,100,100,100,100,100,2009
sw,99.9,100,100,99.95,100,2009
ta,100,100,100,100,100,2009
te,100,100,100,100,100,2009
tg,99.95,100,100,99.98,100,2009
th,100,100,100,100,100,2009
tl,77.71,99.95,99.71,87.44,99.7,2009
tr,100,100,100,100,100,2009
uk,100,100,100,100,100,2009
ur,100,100,100,100,100,2009
uz,100,100,100,100,100,2009
vi,99.9,100,100,99.95,100,2009
wo,99.95,99.8,100,99.88,100,2009
xh,99.35,98.66,99.98,99,99.99,2009
yo,100,100,100,100,100,2009
zh,100,100,100,100,100,6027
zu,98.67,99.35,99.98,99.01,99.99,2009
Micro,98.6,98.6,99.97,98.6,99.99,196882
Macro,98.8,99.03,99.97,98.76,99.98,196882
