language,precision,recall,accuracy,f1-score,specificity,samples
af,69.83,92.74,99.98,79.67,99.98,4407
am,93.29,94.5,100,93.89,100,309
ar,98.79,94.33,99.96,96.51,99.99,68392
as,98.8,95.74,99.99,97.25,100,14681
ast,0,0,99.99,0,100,812
av,100,68.21,100,81.1,100,692
az,97.41,81.93,99.98,89,100,9002
ba,63.22,95.8,100,76.17,100,357
bar,0,0,100,0,100,250
bcl,0,0,100,0,100,15
be,79.42,98.89,99.97,88.09,99.97,14276
bg,92.05,94.52,99.97,93.27,99.98,25367
bn,94.34,99.87,99.99,97.03,99.99,15806
bo,100,95.24,100,97.56,100,42
br,46.51,87.07,99.92,60.63,99.93,7999
ca,70.15,81.31,99.95,75.32,99.97,9969
ce,68.18,71.43,100,69.77,100,42
ceb,0,0,99.98,0,100,1705
ckb,0,0,99.88,0,100,12600
co,8.6,28.57,100,13.22,100,28
cs,89.52,65.31,99.67,75.52,99.94,84123
cv,99.63,93.9,100,96.68,100,1706
cy,57.04,85.54,99.99,68.44,99.99,1777
da,85.92,86.41,99.83,86.17,99.91,65861
de,99.39,99.29,99.91,99.34,99.96,727114
diq,0,0,100,0,100,7
dsb,0,0,99.99,0,100,1555
dv,95.24,100,100,97.56,100,40
el,99.89,99.22,100,99.55,100,40218
en,99.71,93.78,98.82,96.66,99.94,1986627
eo,99.34,96.91,99.73,98.11,99.95,793577
es,95.36,96.13,99.67,95.74,99.82,415801
et,54.49,90.81,99.95,68.11,99.96,6115
eu,68.51,95.18,99.97,79.67,99.97,6326
fa,96.5,99.62,99.99,98.04,99.99,31457
fi,95.44,95.81,99.88,95.62,99.94,151584
fr,98.68,94.69,99.59,96.64,99.92,673450
frr,0,0,99.97,0,100,3083
fy,59.15,75.95,100,66.5,100,711
ga,53.85,61.44,99.98,57.39,99.99,2972
gd,38.29,94.1,99.98,54.44,99.99,1050
gl,78.12,60.16,99.96,67.97,99.99,7085
gn,99.16,20.94,99.98,34.58,100,3367
gom,0,0,100,0,100,10
gu,79.02,96.43,100,86.86,100,168
gv,8.11,55.26,100,14.14,100,38
he,99.63,99.92,99.99,99.78,99.99,209347
hi,84.43,98.94,99.97,91.11,99.97,15624
hif,0,0,100,0,100,34
hr,24.25,66.8,99.87,35.58,99.89,6006
hsb,0,0,99.99,0,100,1554
ht,7.4,56.31,99.99,13.08,99.99,103
hu,99.77,93.97,99.76,96.79,99.99,421697
hy,99.99,95.46,99.99,97.67,100,29696
ia,94.42,91.3,99.95,92.83,99.98,39060
id,84.04,94.17,99.94,88.82,99.96,25952
ilo,0,0,99.98,0,100,2465
io,97.8,71.52,99.96,82.62,100,13164
is,99.45,80.41,99.98,88.92,100,13390
it,99.35,97.13,99.7,98.23,99.94,935157
ja,99.94,99.64,99.99,99.79,100,246319
jbo,0,0,99.84,0,100,17152
jv,83.8,86.43,100,85.09,100,1430
ka,99.94,99.25,100,99.6,100,7074
kk,99.42,94.44,100,96.87,100,4385
km,99.91,87.81,100,93.47,100,2461
kn,92.79,99.68,100,96.11,100,310
ko,99.32,96.86,99.99,98.08,100,14509
ku,97.09,66.79,99.97,79.14,100,10281
kv,38.82,78.67,100,51.98,100,75
kw,92.9,92.38,99.99,92.64,100,3950
ky,82.9,94.96,100,88.52,100,536
la,89.97,95.16,99.93,92.49,99.95,52513
lb,85.9,72.63,100,78.71,100,1023
lez,0,0,100,0,100,12
li,5.11,38.3,100,9.02,100,47
lmo,0,0,100,0,100,29
lo,100,96.94,100,98.45,100,229
lt,97.51,85.41,99.8,91.06,99.97,131515
lv,58.89,71.2,99.91,64.46,99.94,12480
mai,0,0,100,0,100,8
mg,0,0,100,0,100,73
mhr,0,0,99.96,0,100,4362
mk,97.7,92.5,99.93,95.03,99.98,78244
ml,52.9,99.89,99.99,69.16,99.99,878
mn,0,0,99.97,0,100,2792
mr,99.83,99.06,99.99,99.44,100,77592
mrj,29.39,92.13,100,44.57,100,89
ms,91.19,43.31,99.96,58.73,100,7550
mt,9.48,57.31,99.96,16.27,99.97,691
mwl,0,0,100,0,100,212
my,95.97,93.84,100,94.89,100,584
myv,0,0,100,0,100,72
nah,0,0,100,0,100,235
nap,0,0,100,0,100,65
nds,0,0,99.83,0,100,18226
ne,98.88,94.29,100,96.53,100,4500
nl,97.18,97.56,99.91,97.37,99.95,193399
nn,48.84,80.36,99.88,60.76,99.9,12360
oc,82.1,59.71,99.89,69.14,99.97,22598
or,85.04,84.62,100,84.83,100,403
os,98.46,76.05,99.98,85.81,100,7382
pa,42.16,98.17,100,58.98,100,219
pam,0,0,99.99,0,100,1482
pfl,0,0,100,0,100,3
pl,90.16,87.95,99.74,89.04,99.88,132808
pms,0,0,99.99,0,100,822
pnb,0,0,100,0,100,72
ps,0,0,100,0,100,47
pt,91.9,94.85,99.46,93.35,99.65,437510
qu,52.42,27.36,100,35.95,100,435
rm,4.37,80.77,100,8.28,100,26
ro,94.34,88.06,99.94,91.09,99.98,37205
ru,99.77,97.86,99.75,98.81,99.97,1140746
rue,0,0,100,0,100,117
sa,83.33,96.39,100,89.39,100,166
sah,0,0,99.99,0,100,992
sc,0.42,56.25,99.98,0.84,99.98,16
scn,0,0,100,0,100,35
sco,0,0,100,0,100,92
sd,5.68,83.33,100,10.64,100,6
si,90,96,100,92.9,100,75
sk,54.21,62.57,99.78,58.09,99.87,27240
sl,9.57,83.65,99.75,17.17,99.75,3388
so,83.72,89.44,100,86.49,100,161
sq,36.86,67.57,99.96,47.69,99.97,2633
sr,84.69,75.53,99.82,79.85,99.94,50762
su,3.99,70,99.99,7.56,99.99,40
sv,88.55,82.72,99.86,85.54,99.94,56297
sw,84.66,81.52,99.99,83.06,99.99,4529
ta,95.07,99.64,100,97.3,100,561
te,70.72,100,100,82.85,100,314
tg,78.05,92.75,100,84.77,100,69
th,98.5,99.88,100,99.19,100,6827
tk,88.69,70.18,99.97,78.35,99.99,7115
tl,99.34,94.99,99.96,97.12,100,76772
tr,97.97,96.94,99.66,97.45,99.85,739792
tyv,0,0,100,0,100,80
ug,98.11,98.18,100,98.14,100,7971
uk,98.88,97.87,99.94,98.37,99.98,187391
ur,78.88,98.29,99.99,87.52,99.99,2687
uz,19.08,88.91,99.96,31.42,99.96,1163
vec,0,0,100,0,100,298
vep,0,0,100,0,100,404
vi,99.43,40.17,99.85,57.22,100,27253
vo,98.48,75.29,99.98,85.34,100,6379
wa,12.74,37.74,100,19.05,100,53
war,0,0,99.98,0,100,2386
xal,0,0,99.99,0,100,870
yi,100,96.75,99.99,98.34,100,24553
yo,24.65,46.09,100,32.12,100,115
zh,98.87,99.37,99.98,99.12,99.99,98286
Micro,97.03,94.26,99.95,95.62,99.98,10933730
Macro,57.18,62.92,99.94,57.2,99.98,10933730
