language,precision,recall,accuracy,f1-score,specificity,samples
af,100,99.51,99.99,99.75,100,813
am,100,100,100,100,100,98
ar,98.43,100,99.99,99.21,99.99,251
as,100,100,100,100,100,636
az,99.87,99.13,99.99,99.5,100,805
be,99.78,96.02,99.95,97.86,100,929
bg,100,98.51,99.98,99.25,100,872
bn,97.14,100,99.98,98.55,99.98,612
br,99.16,99.64,99.99,99.4,99.99,825
bs,65.17,55.15,99.18,59.74,99.67,845
ca,98.96,98.73,99.97,98.85,99.99,869
cs,99.44,99.55,99.99,99.5,99.99,893
cy,98.44,99.87,99.98,99.15,99.98,756
da,99.53,98.03,99.97,98.77,99.99,863
de,95.56,98.62,99.93,97.06,99.94,939
el,99.89,99.89,100,99.89,100,882
en,99.28,89.32,99.61,94.04,99.98,2631
eo,92.52,99.77,99.91,96,99.91,855
es,93.61,95.15,99.86,94.37,99.92,908
et,99.75,99.01,99.99,99.38,100,805
eu,99.37,99.89,99.99,99.63,99.99,947
fa,100,100,100,100,100,11
fi,99.88,99.52,99.99,99.7,100,835
fr,97.53,98.75,99.94,98.13,99.96,1278
fy,99.03,99.27,99.98,99.15,99.99,826
ga,99.21,99.89,99.99,99.55,99.99,877
gd,98.87,99.49,99.98,99.18,99.99,791
gl,96.12,98.89,99.94,97.49,99.95,902
gn,99.34,98.91,99.98,99.12,99.99,915
gu,100,100,100,100,100,773
ha,99.4,99.76,99.99,99.58,99.99,837
he,99.42,99.65,99.99,99.54,99.99,864
hi,96.31,100,99.96,98.12,99.96,757
hr,60.27,73.16,99.17,66.09,99.46,842
ht,99.8,100,100,99.9,100,976
hu,99.24,99.35,99.98,99.29,99.99,918
hy,99.89,98.67,99.98,99.28,100,903
id,88.96,97.92,99.84,93.22,99.86,864
ig,98.53,100,99.98,99.26,99.98,806
is,99.73,100,100,99.87,100,745
it,97.06,95.65,99.91,96.35,99.97,896
ja,100,97.94,100,98.96,100,97
jv,99.63,97.37,99.97,98.49,100,836
ka,100,99.33,99.99,99.66,100,891
kk,99.87,99.36,99.99,99.61,100,781
km,76.44,100,99.95,86.64,99.95,133
kn,99.74,100,100,99.87,100,763
ko,98.75,100,99.99,99.37,99.99,867
ku,99.64,99.52,99.99,99.58,100,827
ky,99.88,98.85,99.99,99.36,100,869
lg,98.18,99.69,99.98,98.93,99.98,649
li,97.52,99.37,99.97,98.43,99.98,632
ln,99.59,97.44,99.97,98.5,100,743
lo,99.14,94.11,99.96,96.56,99.99,492
lt,99.89,98.7,99.98,99.29,100,923
lv,99.89,99.89,100,99.89,100,873
mg,99.84,100,100,99.92,100,612
mk,100,99.43,99.99,99.71,100,878
ml,100,99.83,100,99.91,100,573
mn,100,100,100,100,100,749
mr,99.83,100,100,99.91,100,586
ms,97.57,90.41,99.87,93.86,99.97,845
my,100,98.68,100,99.34,100,76
ne,100,98.78,99.99,99.39,100,575
nl,96.58,98.04,99.95,97.3,99.97,662
om,99.4,99.88,99.99,99.64,99.99,836
or,100,100,100,100,100,660
pa,100,99.87,100,99.94,100,771
pl,98.34,99.89,99.98,99.11,99.98,892
ps,100,98.97,100,99.48,100,97
pt,96.87,98.97,99.95,97.91,99.96,876
qu,98.25,96,99.95,97.11,99.98,700
rm,98.93,99.19,99.98,99.06,99.99,745
ro,99.34,99.78,99.99,99.56,99.99,899
ru,92.75,98.77,99.9,95.67,99.91,894
sa,100,99.22,99.99,99.61,100,640
sd,100,97.06,100,98.51,100,34
si,99.34,100,99.99,99.67,99.99,605
sk,99.33,99.55,99.99,99.44,99.99,896
sl,99.21,99.21,99.98,99.21,99.99,882
so,100,94.25,99.94,97.04,100,800
sq,99.4,99.64,99.99,99.52,99.99,825
sr,99.75,94.1,99.93,96.84,100,864
su,99.78,99.11,99.99,99.44,100,903
sv,98.77,99.75,99.98,99.26,99.99,808
sw,99.35,100,99.99,99.67,99.99,764
ta,100,99.86,100,99.93,100,740
te,100,100,100,100,100,773
th,89.54,100,99.96,94.48,99.96,274
tl,97.15,99.75,99.97,98.43,99.97,785
tn,99.65,98.95,99.98,99.29,100,854
tr,96.28,99.88,99.96,98.05,99.96,830
ug,100,92.68,99.99,96.2,100,82
uk,99.45,98.47,99.98,98.96,99.99,914
ur,100,100,100,100,100,180
uz,100,99.21,99.99,99.61,100,764
vi,99.62,99.87,99.99,99.75,100,792
wo,99.66,95.87,99.95,97.73,100,921
xh,99.87,99,99.99,99.43,100,799
yi,99.62,99.12,99.99,99.37,100,798
yo,98.29,99.28,99.98,98.78,99.98,694
zh,96.43,100,100,98.18,100,81
Micro,97.78,97.78,99.96,97.78,99.98,76254
Macro,97.85,98.1,99.96,97.93,99.98,76254
