language,precision,recall,accuracy,f1-score,specificity,samples
af,19.62,92.31,99.83,32.37,99.83,4407
am,87.14,87.7,100,87.42,100,309
ar,99.9,91.47,99.94,95.5,100,68392
as,98.43,92.04,99.99,95.13,100,14681
az,29.89,87.13,99.8,44.51,99.81,9002
be,88.97,79.25,99.96,83.83,99.99,14276
bg,76.7,83.34,99.89,79.88,99.93,25367
bn,67.84,97.36,99.92,79.96,99.93,15806
ca,35.44,89.91,99.82,50.84,99.83,9969
ceb,22.72,85.16,99.95,35.87,99.95,1705
cs,94.33,93.52,99.9,93.92,99.95,84123
cy,49.79,94.71,99.98,65.27,99.98,1777
da,95.14,85.03,99.87,89.8,99.97,65861
de,99.76,98.47,99.87,99.11,99.98,727114
el,99.98,98.89,100,99.43,100,40218
en,97.01,99.38,99.26,98.18,99.23,1986627
es,98.22,89.04,99.47,93.4,99.93,415801
et,84.42,92.59,99.98,88.32,99.99,6115
fa,98.76,98.8,99.99,98.78,100,31457
fi,98.66,94.46,99.9,96.51,99.98,151584
fr,99.52,96.24,99.71,97.85,99.97,673450
ga,69.7,96.43,99.99,80.91,99.99,2972
gl,18.2,81.13,99.72,29.73,99.74,7085
gu,71,97.62,100,82.21,100,168
ha,94.35,97.21,99.98,95.76,99.99,21821
he,100,98.7,99.97,99.35,100,209347
hi,88.35,98.38,99.98,93.1,99.98,15624
hr,18.72,90.86,99.75,31.05,99.76,6006
hu,99.78,94.72,99.77,97.19,99.99,421697
hy,99.97,97.32,99.99,98.62,100,29696
id,94.16,97.27,99.98,95.69,99.98,25952
ig,1.76,76.09,99.98,3.45,99.98,46
is,90.66,98.48,99.98,94.41,99.99,13390
it,99.6,93.49,99.35,96.45,99.96,935157
ja,99.99,99.96,100,99.98,100,246319
jv,18.1,59.86,99.95,27.79,99.96,1430
ka,100,94.01,100,96.91,100,7074
kam,1.9,70,100,3.7,100,10
kk,96.83,82.12,99.99,88.87,100,4385
km,2.24,99.47,98.92,4.38,98.92,2461
kn,90.06,96.45,100,93.15,100,310
ko,10.84,98.17,98.81,19.52,98.81,14509
ky,47.98,77.43,99.99,59.24,100,536
lb,12.41,96.19,99.93,21.99,99.93,1023
lg,17.3,82.4,99.99,28.59,99.99,250
ln,77.08,98.45,99.99,86.46,99.99,4781
lo,99.57,100,100,99.78,100,229
lt,99.39,94.85,99.92,97.07,99.99,131515
lv,86.04,95.77,99.98,90.65,99.98,12480
mi,19.48,99.27,99.98,32.57,99.98,410
mk,96.57,73.05,99.77,83.18,99.98,78244
ml,100,98.06,100,99.02,100,878
mn,92.16,95.2,100,93.66,100,2792
mr,99.93,97.17,99.98,98.53,100,77592
mt,16.82,87.84,99.97,28.24,99.97,691
my,100,64.21,100,78.21,100,584
ne,98.04,92.22,100,95.04,100,4500
nl,99.18,94.17,99.87,96.61,99.98,193399
ny,2.64,72,99.99,5.1,99.99,25
oc,62.88,74.73,99.84,68.29,99.9,22598
om,2.07,100,100,4.05,100,10
or,89.06,70.72,100,78.84,100,403
pa,100,97.26,100,98.61,100,219
pl,99.4,95.57,99.93,97.45,99.99,132808
ps,12.37,97.87,100,21.96,100,47
pt,97.36,92.48,99.56,94.86,99.88,437510
ro,88.05,96.77,99.94,92.21,99.95,37205
ru,99.76,85.48,98.3,92.07,99.97,1140746
sd,0.63,83.33,99.99,1.25,99.99,6
sk,88.05,82.38,99.92,85.12,99.97,27240
sl,52.34,74.82,99.97,61.6,99.98,3388
sn,1.29,68.09,99.98,2.53,99.98,47
so,29.04,92.55,100,44.21,100,161
sr,90.22,40.9,99.67,56.29,99.98,50762
sv,95.5,96.24,99.95,95.87,99.97,56297
sw,74.96,94.9,99.98,83.76,99.99,4529
ta,100,96.79,100,98.37,100,561
te,100,98.41,100,99.2,100,314
tg,8.76,86.96,99.99,15.92,99.99,69
th,100,99.97,100,99.99,100,6827
tl,96.3,92.48,99.91,94.35,99.97,76772
tr,99.87,93.76,99.52,96.72,99.99,739792
uk,98.69,78.08,99.56,87.18,99.98,187391
umb,1.74,60,99.99,3.37,99.99,30
ur,94.07,98.66,100,96.31,100,2687
uz,46.73,74.98,99.99,57.58,99.99,1163
vi,97.8,99.83,99.99,98.81,99.99,27253
wo,3.63,78.5,99.98,6.94,99.98,107
xh,36.17,79.07,100,49.64,100,258
yo,14.06,92.17,99.99,24.4,99.99,115
zh,99.9,99.97,100,99.93,100,98286
zu,16.05,54.55,100,24.81,100,88
Micro,94.34,93.77,99.88,94.05,99.94,9879118
Macro,68.15,89.03,99.87,70.27,99.94,9879118
